year,month,wpp,detection_count,rad_mean,log_rad_mean,is_partial_year
2012,4,Unknown,90,7.7608,2.170291,0
2012,4,WPP571,1820,3.7581,1.559858,0
2012,4,WPP572,5520,4.8845,1.772324,0
2012,4,WPP573,1571,3.4252,1.487317,0
2012,4,WPP711,10606,45.0587,3.829918,0
2012,4,WPP712,23271,43.498,3.795444,0
2012,4,WPP713,6609,13.9212,2.70278,0
2012,4,WPP714,1193,28.4494,3.382673,0
2012,4,WPP715,427,4.5564,1.714956,0
2012,4,WPP716,1053,4.5114,1.706823,0
2012,4,WPP717,107,2.4088,1.226347,0
2012,4,WPP718,1946,19.0878,3.00011,0
2012,5,Unknown,81,3.7024,1.548066,0
2012,5,WPP571,1041,3.4335,1.489195,0
2012,5,WPP572,4724,6.9158,2.06886,0
2012,5,WPP573,1368,2.5495,1.266806,0
2012,5,WPP711,9673,33.3772,3.537393,0
2012,5,WPP712,25846,50.7085,3.945623,0
2012,5,WPP713,8359,14.3564,2.731534,0
2012,5,WPP714,503,63.0971,4.160399,0
2012,5,WPP715,361,3.0462,1.39779,0
2012,5,WPP716,1095,5.2489,1.832403,0
2012,5,WPP717,111,2.0314,1.109021,0
2012,5,WPP718,486,9.9146,2.390101,0
2012,6,Unknown,97,3.7298,1.55388,0
2012,6,WPP571,1995,9.4621,2.347755,0
2012,6,WPP572,9081,5.6981,1.901822,0
2012,6,WPP573,1841,2.6522,1.29532,0
2012,6,WPP711,9500,34.9799,3.582961,0
2012,6,WPP712,23874,47.3621,3.878716,0
2012,6,WPP713,8964,14.1304,2.716706,0
2012,6,WPP714,744,16.5465,2.864852,0
2012,6,WPP715,432,4.2544,1.659061,0
2012,6,WPP716,1285,3.8235,1.573499,0
2012,6,WPP717,239,1.8336,1.041563,0
2012,6,WPP718,1206,4.435,1.692855,0
2012,7,Unknown,52,4.1603,1.640996,0
2012,7,WPP571,1444,4.6679,1.734822,0
2012,7,WPP572,5859,7.0188,2.081795,0
2012,7,WPP573,1765,2.9216,1.366492,0
2012,7,WPP711,7928,32.9781,3.525715,0
2012,7,WPP712,26785,45.5013,3.839479,0
2012,7,WPP713,6576,13.6487,2.684351,0
2012,7,WPP714,625,20.558,3.070745,0
2012,7,WPP715,224,5.4767,1.868208,0
2012,7,WPP716,720,3.6434,1.535451,0
2012,7,WPP717,54,2.4928,1.250713,0
2012,7,WPP718,1373,17.3242,2.908223,0
2012,8,Unknown,64,4.2993,1.667566,0
2012,8,WPP571,1128,4.9144,1.777398,0
2012,8,WPP572,3378,4.6986,1.740213,0
2012,8,WPP573,1333,3.2499,1.446892,0
2012,8,WPP711,8489,40.2067,3.718601,0
2012,8,WPP712,24387,54.7626,4.021103,0
2012,8,WPP713,5473,13.0166,2.640241,0
2012,8,WPP714,575,38.7959,3.683764,0
2012,8,WPP715,207,5.4936,1.870814,0
2012,8,WPP716,1052,4.9746,1.787522,0
2012,8,WPP717,83,2.4846,1.248365,0
2012,8,WPP718,2228,23.3519,3.192612,0
2012,9,Unknown,56,7.0508,2.085774,0
2012,9,WPP571,899,5.5068,1.872847,0
2012,9,WPP572,4208,6.4048,2.002127,0
2012,9,WPP573,1458,2.9836,1.382191,0
2012,9,WPP711,11497,43.8161,3.802569,0
2012,9,WPP712,23776,35.3661,3.593637,0
2012,9,WPP713,8577,17.5938,2.922826,0
2012,9,WPP714,893,48.2769,3.897455,0
2012,9,WPP715,359,4.831,1.763183,0
2012,9,WPP716,679,4.1753,1.643897,0
2012,9,WPP717,114,4.2325,1.654895,0
2012,9,WPP718,2952,31.7213,3.488026,0
2012,10,Unknown,66,5.6876,1.900257,0
2012,10,WPP571,885,4.1024,1.629704,0
2012,10,WPP572,3256,5.0871,1.806164,0
2012,10,WPP573,1343,3.4512,1.493178,0
2012,10,WPP711,14992,44.0654,3.808115,0
2012,10,WPP712,18809,32.0851,3.499082,0
2012,10,WPP713,9297,20.4241,3.064518,0
2012,10,WPP714,1162,42.6275,3.775688,0
2012,10,WPP715,461,5.7983,1.916673,0
2012,10,WPP716,940,4.4074,1.687769,0
2012,10,WPP717,158,2.7185,1.313307,0
