year,wpp,detection_count,rad_mean,log_rad_mean,is_partial_year,coverage_note
2012,Unknown,585,5.0868,1.806115,0,Full year
2012,WPP571,10944,5.1615,1.818317,0,Full year
2012,WPP572,40931,5.9174,1.934037,0,Full year
2012,WPP573,12655,2.9819,1.381763,0,Full year
2012,WPP711,86999,39.3787,3.698302,0,Full year
2012,WPP712,196310,42.9368,3.782753,0,Full year
2012,WPP713,69233,16.5484,2.86496,0,Full year
2012,WPP714,8141,35.5346,3.598259,0,Full year
2012,WPP715,3727,4.9225,1.778754,0,Full year
2012,WPP716,8792,4.6146,1.725372,0,Full year
2012,WPP717,1098,2.6658,1.299035,0,Full year
2012,WPP718,19775,28.5035,3.38451,0,Full year
2013,Unknown,494,6.6421,2.033666,0,Full year
2013,WPP571,12867,4.9739,1.787404,0,Full year
2013,WPP572,46985,5.4612,1.865808,0,Full year
2013,WPP573,13847,3.2393,1.44439,0,Full year
2013,WPP711,107044,41.4716,3.748835,0,Full year
2013,WPP712,240308,38.4279,3.674473,0,Full year
2013,WPP713,76226,16.1999,2.844904,0,Full year
2013,WPP714,10818,30.5642,3.452023,0,Full year
2013,WPP715,5329,4.7046,1.741273,0,Full year
2013,WPP716,11625,4.9353,1.780917,0,Full year
2013,WPP717,1568,3.5403,1.512999,0,Full year
2013,WPP718,26309,25.8376,3.289805,0,Full year
2014,Unknown,469,4.3018,1.668049,0,Full year
2014,WPP571,15618,5.9276,1.935519,0,Full year
2014,WPP572,52092,5.7498,1.909508,0,Full year
2014,WPP573,15683,4.5853,1.720134,0,Full year
2014,WPP711,130811,39.5866,3.703437,0,Full year
2014,WPP712,313208,39.5468,3.702458,0,Full year
2014,WPP713,88129,17.7999,2.933849,0,Full year
2014,WPP714,12595,29.4729,3.416837,0,Full year
2014,WPP715,4162,5.294,1.839602,0,Full year
2014,WPP716,15044,6.8362,2.058755,0,Full year
2014,WPP717,1701,4.2775,1.66346,0,Full year
2014,WPP718,36206,32.5367,3.512641,0,Full year
2015,Unknown,700,11.6817,2.540157,0,Full year
2015,WPP571,21518,9.893,2.388118,0,Full year
2015,WPP572,52588,5.975,1.942338,0,Full year
2015,WPP573,17985,3.1951,1.43391,0,Full year
2015,WPP711,121496,35.7561,3.604303,0,Full year
2015,WPP712,353228,36.6534,3.628423,0,Full year
