id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
1,VBD_npp_d20160722_t1559247_x1289327E_y084505S_l2796_s0404_v23,2017-11-22 01:11:49,-8.450522,128.932663,6.64207,2016-07-22 15:59:24,2016-07-23 00:59:24,2796,404,0.346437,1,2273,0.332916,0.279368,0.615151,0.4,0.848908,0.75,0.0947983,0.0001,5.23521e-12,999999,2.876065e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20160722_t1554148_e1559552_b24534_c20160722215955527814_noaa_ops.h5,GDNBO_npp_d20160722_t1554148_e1559552_b24534_c20160722215955527572_noaa_ops.h5,SVI04_npp_d20160722_t1554148_e1559552_b24534_c20160722215955985314_noaa_ops.dspace_rad,VNFF_npp_d20160722_t1554148_e1559552_b24534_v21.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.804178;7.899394;5.563132;0.696802;-4.183820;-9.076398;-13.977887;-12.170071;-9.652888;-4.820445;0.035663;4.910758,130.247177;144.101929;157.722977;156.547531;155.475693;154.503952;153.627319;139.585251;125.660881;126.978516;128.175232;129.264069,npp_d20160722_t1554148_e1559552_b24534,166.452,30.012,63.3164,100.553,26.3199,93.6602
2,VBD_npp_d20160722_t1559531_x1294217E_y101951S_l3043_s0537_v23,2017-11-22 01:11:49,-10.195149,129.421722,12.8336,2016-07-22 15:59:53,2016-07-23 00:59:53,3043,537,0.379229,1,2529,0.555214,0.30462,0.826718,0.4,0.915994,0.75,0.0954678,0.0001,7.82292e-11,999999,-1.012106e-01,3,Australian Exclusive Economic Zone,,,SVDNB_npp_d20160722_t1554148_e1559552_b24534_c20160722215955527814_noaa_ops.h5,GDNBO_npp_d20160722_t1554148_e1559552_b24534_c20160722215955527572_noaa_ops.h5,SVI04_npp_d20160722_t1554148_e1559552_b24534_c20160722215955985314_noaa_ops.dspace_rad,VNFF_npp_d20160722_t1554148_e1559552_b24534_v21.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.804178;7.899394;5.563132;0.696802;-4.183820;-9.076398;-13.977887;-12.170071;-9.652888;-4.820445;0.035663;4.910758,130.247177;144.101929;157.722977;156.547531;155.475693;154.503952;153.627319;139.585251;125.660881;126.978516;128.175232;129.264069,npp_d20160722_t1554148_e1559552_b24534,167.587,36.2312,60.5719,101.1,25.6593,89.9529
3,VBD_npp_d20160722_t1558526_x1334631E_y072933S_l2502_s0998_v23,2017-11-22 01:11:49,-7.293289,133.463058,88.0843,2016-07-22 15:58:52,2016-07-23 00:58:52,2502,998,0.292449,1,2529,0.869161,0.289854,0.71465,0.4,0.902586,0.75,0.0988457,0.0001,4.35698e-07,999999,-4.671096e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20160722_t1554148_e1559552_b24534_c20160722215955527814_noaa_ops.h5,GDNBO_npp_d20160722_t1554148_e1559552_b24534_c20160722215955527572_noaa_ops.h5,SVI04_npp_d20160722_t1554148_e1559552_b24534_c20160722215955985314_noaa_ops.dspace_rad,VNFF_npp_d20160722_t1554148_e1559552_b24534_v21.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.804178;7.899394;5.563132;0.696802;-4.183820;-9.076398;-13.977887;-12.170071;-9.652888;-4.820445;0.035663;4.910758,130.247177;144.101929;157.722977;156.547531;155.475693;154.503952;153.627319;139.585251;125.660881;126.978516;128.175232;129.264069,npp_d20160722_t1554148_e1559552_b24534,162.989,40.0549,48.5375,99.8952,22.0109,96.5606
4,VBD_npp_d20160722_t1558455_x1336529E_y068731S_l2435_s1011_v23,2017-11-22 01:11:49,-6.873108,133.652908,26.2948,2016-07-22 15:58:45,2016-07-23 00:58:45,2435,1011,0.252616,1,2529,0.513937,0.365856,0.833003,0.4,0.776381,0.75,0.0989719,0.0001,5.37186e-07,999999,-4.435305e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20160722_t1554148_e1559552_b24534_c20160722215955527814_noaa_ops.h5,GDNBO_npp_d20160722_t1554148_e1559552_b24534_c20160722215955527572_noaa_ops.h5,SVI04_npp_d20160722_t1554148_e1559552_b24534_c20160722215955985314_noaa_ops.dspace_rad,VNFF_npp_d20160722_t1554148_e1559552_b24534_v21.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.804178;7.899394;5.563132;0.696802;-4.183820;-9.076398;-13.977887;-12.170071;-9.652888;-4.820445;0.035663;4.910758,130.247177;144.101929;157.722977;156.547531;155.475693;154.503952;153.627319;139.585251;125.660881;126.978516;128.175232;129.264069,npp_d20160722_t1554148_e1559552_b24534,162.564,39.5614,48.1438,100,21.9024,97.6449
5,VBD_npp_d20160722_t1558455_x1336690E_y069041S_l2439_s1014_v23,2017-11-22 01:11:49,-6.904057,133.668991,70.335,2016-07-22 15:58:45,2016-07-23 00:58:45,2439,1014,0.319763,1,2529,0.858292,0.238463,0.850427,0.4,0.890697,0.75,0.0989874,0.0001,5.64216e-07,999999,2.216098e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20160722_t1554148_e1559552_b24534_c20160722215955527814_noaa_ops.h5,GDNBO_npp_d20160722_t1554148_e1559552_b24534_c20160722215955527572_noaa_ops.h5,SVI04_npp_d20160722_t1554148_e1559552_b24534_c20160722215955985314_noaa_ops.dspace_rad,VNFF_npp_d20160722_t1554148_e1559552_b24534_v21.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.804178;7.899394;5.563132;0.696802;-4.183820;-9.076398;-13.977887;-12.170071;-9.652888;-4.820445;0.035663;4.910758,130.247177;144.101929;157.722977;156.547531;155.475693;154.503952;153.627319;139.585251;125.660881;126.978516;128.175232;129.264069,npp_d20160722_t1554148_e1559552_b24534,162.578,39.6615,48.046,99.7713,21.8822,97.5706
6,VBD_npp_d20160722_t1558491_x1336198E_y071464S_l2476_s1015_v23,2017-11-22 01:11:49,-7.146443,133.619781,62.3407,2016-07-22 15:58:49,2016-07-23 00:58:49,2476,1015,0.239314,1,2529,0.805672,0.297951,0.781158,0.4,0.887063,0.75,0.0989703,0.0001,5.72202e-07,999999,-8.898898e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20160722_t1554148_e1559552_b24534_c20160722215955527814_noaa_ops.h5,GDNBO_npp_d20160722_t1554148_e1559552_b24534_c20160722215955527572_noaa_ops.h5,SVI04_npp_d20160722_t1554148_e1559552_b24534_c20160722215955985314_noaa_ops.dspace_rad,VNFF_npp_d20160722_t1554148_e1559552_b24534_v21.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.804178;7.899394;5.563132;0.696802;-4.183820;-9.076398;-13.977887;-12.170071;-9.652888;-4.820445;0.035663;4.910758,130.247177;144.101929;157.722977;156.547531;155.475693;154.503952;153.627319;139.585251;125.660881;126.978516;128.175232;129.264069,npp_d20160722_t1554148_e1559552_b24534,162.786,40.08,48.0116,99.5159,21.8859,96.9537
7,VBD_npp_d20160722_t1558455_x1336841E_y068996S_l2438_s1016_v23,2017-11-22 01:11:49,-6.899645,133.684082,93.528,2016-07-22 15:58:45,2016-07-23 00:58:45,2438,1016,0.3145,1,2529,0.977959,0.272681,0.857573,0.4,0.905198,0.75,0.099,0.0001,5.83532e-07,999999,4.295498e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20160722_t1554148_e1559552_b24534_c20160722215955527814_noaa_ops.h5,GDNBO_npp_d20160722_t1554148_e1559552_b24534_c20160722215955527572_noaa_ops.h5,SVI04_npp_d20160722_t1554148_e1559552_b24534_c20160722215955985314_noaa_ops.dspace_rad,VNFF_npp_d20160722_t1554148_e1559552_b24534_v21.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.804178;7.899394;5.563132;0.696802;-4.183820;-9.076398;-13.977887;-12.170071;-9.652888;-4.820445;0.035663;4.910758,130.247177;144.101929;157.722977;156.547531;155.475693;154.503952;153.627319;139.585251;125.660881;126.978516;128.175232;129.264069,npp_d20160722_t1554148_e1559552_b24534,162.565,39.6874,47.9807,99.8264,21.8677,97.5849
8,VBD_npp_d20160722_t1558455_x1336862E_y069281S_l2442_s1017_v23,2017-11-22 01:11:49,-6.928100,133.686203,88.8171,2016-07-22 15:58:45,2016-07-23 00:58:45,2442,1017,0.321542,1,2529,0.907158,0.232767,0.871108,0.4,0.89302,0.75,0.0990036,0.0001,5.92549e-07,999999,2.513484e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20160722_t1554148_e1559552_b24534_c20160722215955527814_noaa_ops.h5,GDNBO_npp_d20160722_t1554148_e1559552_b24534_c20160722215955527572_noaa_ops.h5,SVI04_npp_d20160722_t1554148_e1559552_b24534_c20160722215955985314_noaa_ops.dspace_rad,VNFF_npp_d20160722_t1554148_e1559552_b24534_v21.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.804178;7.899394;5.563132;0.696802;-4.183820;-9.076398;-13.977887;-12.170071;-9.652888;-4.820445;0.035663;4.910758,130.247177;144.101929;157.722977;156.547531;155.475693;154.503952;153.627319;139.585251;125.660881;126.978516;128.175232;129.264069,npp_d20160722_t1554148_e1559552_b24534,162.586,39.7503,47.9487,99.5984,21.8618,97.5137
9,VBD_npp_d20160722_t1558455_x1337048E_y069032S_l2438_s1019_v23,2017-11-22 01:11:49,-6.903246,133.704849,27.2161,2016-07-22 15:58:45,2016-07-23 00:58:45,2438,1019,0.278507,1,2529,0.587376,0.270842,0.830389,0.4,0.810186,0.75,0.0990181,0.0001,6.13326e-07,999999,5.255510e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20160722_t1554148_e1559552_b24534_c20160722215955527814_noaa_ops.h5,GDNBO_npp_d20160722_t1554148_e1559552_b24534_c20160722215955527572_noaa_ops.h5,SVI04_npp_d20160722_t1554148_e1559552_b24534_c20160722215955985314_noaa_ops.dspace_rad,VNFF_npp_d20160722_t1554148_e1559552_b24534_v21.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.804178;7.899394;5.563132;0.696802;-4.183820;-9.076398;-13.977887;-12.170071;-9.652888;-4.820445;0.035663;4.910758,130.247177;144.101929;157.722977;156.547531;155.475693;154.503952;153.627319;139.585251;125.660881;126.978516;128.175232;129.264069,npp_d20160722_t1554148_e1559552_b24534,162.555,39.7427,47.8829,99.8241,21.8464,97.5802
10,VBD_npp_d20160722_t1558473_x1336855E_y069729S_l2449_s1019_v23,2017-11-22 01:11:49,-6.972934,133.685471,15.8162,2016-07-22 15:58:47,2016-07-23 00:58:47,2449,1019,0.264992,7,2209,0.320575,0.263194,0.810053,0.4,0.630135,0.75,0.0990112,0.0001,6.13676e-07,999999,9.248400e-02,3,,,,SVDNB_npp_d20160722_t1554148_e1559552_b24534_c20160722215955527814_noaa_ops.h5,GDNBO_npp_d20160722_t1554148_e1559552_b24534_c20160722215955527572_noaa_ops.h5,SVI04_npp_d20160722_t1554148_e1559552_b24534_c20160722215955985314_noaa_ops.dspace_rad,VNFF_npp_d20160722_t1554148_e1559552_b24534_v21.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.804178;7.899394;5.563132;0.696802;-4.183820;-9.076398;-13.977887;-12.170071;-9.652888;-4.820445;0.035663;4.910758,130.247177;144.101929;157.722977;156.547531;155.475693;154.503952;153.627319;139.585251;125.660881;126.978516;128.175232;129.264069,npp_d20160722_t1554148_e1559552_b24534,162.616,39.8573,47.8829,100.121,21.8494,97.402
