id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
1,VBD_npp_d20191112_t1506252_x1408003E_y025876S_l0429_s0084_v23,2019-12-09 19:42:50,-2.587587,140.800278,20.9448,2019-11-12 15:06:25,2019-11-13 00:06:25,429,84,0.335697,1,2529,0.493104,0.290917,0.695772,0.4,0.768686,0.75,0.258049,0.0001,3.59033e-05,999999,2.850500e-02,3,Indonesian Exclusive Economic Zone,WPP717,,SVDNB_npp_d20191112_t1505386_e1507028_b41672_c20191112162605683541_noac_ops.h5,GDNBO_npp_d20191112_t1505386_e1507028_b41672_c20191112162605673206_noac_ops.h5,SVI04_npp_d20191112_t1505386_e1507028_b41672_c20191112162604185218_noac_ops.dspace_rad,VNFF_npp_d20191112_t1505386_e1507028_b41672_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,0.225117;-1.945225;-3.986329;-8.881451;-6.959440;-4.647622,140.875870;154.541367;168.138412;167.172470;153.423172;139.757523,npp_d20191112_t1501224_e1502466_b41672;npp_d20191112_t1502478_e1504120_b41672;npp_d20191112_t1504132_e1505374_b41672;npp_d20191112_t1505386_e1507028_b41672,156.804,151.508,68.9534,99.4525,19.6025,-29.219
5,VBD_npp_d20191112_t1645102_x1180546E_y067830N_l0748_s0159_v23,2019-12-09 19:45:29,6.783027,118.054642,219.98,2019-11-12 16:45:10,2019-11-13 00:45:10,748,159,0.231632,1,2529,0.939616,0.31856,0.76724,0.4,0.933302,0.75,0.267023,0.0001,0.000122256,999999,-5.164223e-02,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20191112_t1643480_e1645122_b41673_c20191112180838073139_noac_ops.h5,GDNBO_npp_d20191112_t1643480_e1645122_b41673_c20191112180838063236_noac_ops.h5,SVI04_npp_d20191112_t1643480_e1645122_b41673_c20191112180846946817_noac_ops.dspace_rad,VNFF_npp_d20191112_t1643480_e1645122_b41673_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,11.694905;9.839480;7.442154;2.585320;4.824658;6.795032,117.886795;131.813766;145.464844;144.243439;130.686981;116.940147,npp_d20191112_t1643480_e1645122_b41673;npp_d20191112_t1645134_e1646376_b41673;npp_d20191112_t1646388_e1648030_b41673;npp_d20191112_t1648042_e1649284_b41673,163.009,131.346,67.7127,97.3226,13.2683,-53.0002
6,VBD_npp_d20191112_t1645102_x1180762E_y067872N_l0747_s0162_v23,2019-12-09 19:45:29,6.787196,118.076225,186.99,2019-11-12 16:45:10,2019-11-13 00:45:10,747,162,0.238176,1,2529,0.915521,0.307556,0.76724,0.4,0.892566,0.75,0.266997,0.0001,0.000124746,999999,8.034067e-04,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20191112_t1643480_e1645122_b41673_c20191112180838073139_noac_ops.h5,GDNBO_npp_d20191112_t1643480_e1645122_b41673_c20191112180838063236_noac_ops.h5,SVI04_npp_d20191112_t1643480_e1645122_b41673_c20191112180846946817_noac_ops.dspace_rad,VNFF_npp_d20191112_t1643480_e1645122_b41673_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,11.694905;9.839480;7.442154;2.585320;4.824658;6.795032,117.886795;131.813766;145.464844;144.243439;130.686981;116.940147,npp_d20191112_t1643480_e1645122_b41673;npp_d20191112_t1645134_e1646376_b41673;npp_d20191112_t1646388_e1648030_b41673;npp_d20191112_t1648042_e1649284_b41673,162.996,131.292,67.6628,97.3555,13.2832,-53.0675
7,VBD_npp_d20191112_t1645102_x1181579E_y068043N_l0743_s0173_v23,2019-12-09 19:45:29,6.804291,118.157944,128.816,2019-11-12 16:45:10,2019-11-13 00:45:10,743,173,0.248632,1,2529,0.763408,0.277509,0.640733,0.4,0.795195,0.75,0.266901,0.0001,0.000134649,999999,1.440162e-01,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20191112_t1643480_e1645122_b41673_c20191112180838073139_noac_ops.h5,GDNBO_npp_d20191112_t1643480_e1645122_b41673_c20191112180838063236_noac_ops.h5,SVI04_npp_d20191112_t1643480_e1645122_b41673_c20191112180846946817_noac_ops.dspace_rad,VNFF_npp_d20191112_t1643480_e1645122_b41673_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,11.694905;9.839480;7.442154;2.585320;4.824658;6.795032,117.886795;131.813766;145.464844;144.243439;130.686981;116.940147,npp_d20191112_t1643480_e1645122_b41673;npp_d20191112_t1645134_e1646376_b41673;npp_d20191112_t1646388_e1648030_b41673;npp_d20191112_t1648042_e1649284_b41673,162.946,131.085,67.4731,97.4868,13.3388,-53.3257
8,VBD_npp_d20191112_t1645102_x1211326E_y063478N_l0751_s0607_v23,2019-12-09 19:45:29,6.347796,121.132599,155.977,2019-11-12 16:45:10,2019-11-13 00:45:10,751,607,0.274951,1,2529,1.12964,0.284168,0.84141,0.4,0.952629,0.75,0.262632,0.0001,0.00151996,999999,1.122753e-01,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20191112_t1643480_e1645122_b41673_c20191112180838073139_noac_ops.h5,GDNBO_npp_d20191112_t1643480_e1645122_b41673_c20191112180838063236_noac_ops.h5,SVI04_npp_d20191112_t1643480_e1645122_b41673_c20191112180846946817_noac_ops.dspace_rad,VNFF_npp_d20191112_t1643480_e1645122_b41673_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,11.694905;9.839480;7.442154;2.585320;4.824658;6.795032,117.886795;131.813766;145.464844;144.243439;130.686981;116.940147,npp_d20191112_t1643480_e1645122_b41673;npp_d20191112_t1645134_e1646376_b41673;npp_d20191112_t1646388_e1648030_b41673;npp_d20191112_t1648042_e1649284_b41673,160.359,126.887,58.9708,97.5103,16.0821,-57.9866
9,VBD_npp_d20191112_t1645102_x1211475E_y063529N_l0750_s0609_v23,2019-12-09 19:45:29,6.352870,121.147545,124.234,2019-11-12 16:45:10,2019-11-13 00:45:10,750,609,0.260582,1,2529,1.04848,0.240123,0.838046,0.4,0.94082,0.75,0.26261,0.0001,0.00153915,999999,3.222023e-01,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20191112_t1643480_e1645122_b41673_c20191112180838073139_noac_ops.h5,GDNBO_npp_d20191112_t1643480_e1645122_b41673_c20191112180838063236_noac_ops.h5,SVI04_npp_d20191112_t1643480_e1645122_b41673_c20191112180846946817_noac_ops.dspace_rad,VNFF_npp_d20191112_t1643480_e1645122_b41673_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,11.694905;9.839480;7.442154;2.585320;4.824658;6.795032,117.886795;131.813766;145.464844;144.243439;130.686981;116.940147,npp_d20191112_t1643480_e1645122_b41673;npp_d20191112_t1645134_e1646376_b41673;npp_d20191112_t1646388_e1648030_b41673;npp_d20191112_t1648042_e1649284_b41673,160.351,126.853,58.9239,97.5529,16.0921,-58.0279
10,VBD_npp_d20191112_t1645119_x1211999E_y063176N_l0755_s0618_v23,2019-12-09 19:45:29,6.317583,121.199890,72.5666,2019-11-12 16:45:11,2019-11-13 00:45:11,755,618,0.218544,1,2529,0.858732,0.367067,0.812411,0.4,0.897786,0.75,0.26251,0.0001,0.00164124,999999,-2.828354e-01,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20191112_t1643480_e1645122_b41673_c20191112180838073139_noac_ops.h5,GDNBO_npp_d20191112_t1643480_e1645122_b41673_c20191112180838063236_noac_ops.h5,SVI04_npp_d20191112_t1643480_e1645122_b41673_c20191112180846946817_noac_ops.dspace_rad,VNFF_npp_d20191112_t1643480_e1645122_b41673_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,11.694905;9.839480;7.442154;2.585320;4.824658;6.795032,117.886795;131.813766;145.464844;144.243439;130.686981;116.940147,npp_d20191112_t1643480_e1645122_b41673;npp_d20191112_t1645134_e1646376_b41673;npp_d20191112_t1646388_e1648030_b41673;npp_d20191112_t1648042_e1649284_b41673,160.282,126.839,58.7105,98.0327,16.1621,-58.026
11,VBD_npp_d20191112_t1645119_x1212195E_y063078N_l0756_s0621_v23,2019-12-09 19:45:29,6.307771,121.219490,109.782,2019-11-12 16:45:11,2019-11-13 00:45:11,756,621,0.196066,1,2529,1.00467,0.341554,0.81751,0.4,0.929041,0.75,0.262477,0.0001,0.00166369,999999,-1.612346e-01,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20191112_t1643480_e1645122_b41673_c20191112180838073139_noac_ops.h5,GDNBO_npp_d20191112_t1643480_e1645122_b41673_c20191112180838063236_noac_ops.h5,SVI04_npp_d20191112_t1643480_e1645122_b41673_c20191112180846946817_noac_ops.dspace_rad,VNFF_npp_d20191112_t1643480_e1645122_b41673_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,11.694905;9.839480;7.442154;2.585320;4.824658;6.795032,117.886795;131.813766;145.464844;144.243439;130.686981;116.940147,npp_d20191112_t1643480_e1645122_b41673;npp_d20191112_t1645134_e1646376_b41673;npp_d20191112_t1646388_e1648030_b41673;npp_d20191112_t1648042_e1649284_b41673,160.26,126.83,58.6409,97.9937,16.1842,-58.0309
12,VBD_npp_d20191112_t1645119_x1212390E_y062980N_l0757_s0624_v23,2019-12-09 19:45:29,6.297988,121.239029,60.4403,2019-11-12 16:45:11,2019-11-13 00:45:11,757,624,0.197062,1,2529,0.710099,0.305689,0.795897,0.4,0.846817,0.75,0.262444,0.0001,0.00168632,999999,9.705510e-03,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20191112_t1643480_e1645122_b41673_c20191112180838073139_noac_ops.h5,GDNBO_npp_d20191112_t1643480_e1645122_b41673_c20191112180838063236_noac_ops.h5,SVI04_npp_d20191112_t1643480_e1645122_b41673_c20191112180846946817_noac_ops.dspace_rad,VNFF_npp_d20191112_t1643480_e1645122_b41673_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,11.694905;9.839480;7.442154;2.585320;4.824658;6.795032,117.886795;131.813766;145.464844;144.243439;130.686981;116.940147,npp_d20191112_t1643480_e1645122_b41673;npp_d20191112_t1645134_e1646376_b41673;npp_d20191112_t1646388_e1648030_b41673;npp_d20191112_t1648042_e1649284_b41673,160.239,126.822,58.5715,97.9547,16.2062,-58.0357
13,VBD_npp_d20191112_t1645119_x1213216E_y062864N_l0757_s0636_v23,2019-12-09 19:45:29,6.286420,121.321602,30.5761,2019-11-12 16:45:11,2019-11-13 00:45:11,757,636,0.129772,2,2209,0.374155,0.349545,0.737286,0.4,0.634618,0.75,0.262311,0.0001,0.00179395,999999,-1.993213e-01,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20191112_t1643480_e1645122_b41673_c20191112180838073139_noac_ops.h5,GDNBO_npp_d20191112_t1643480_e1645122_b41673_c20191112180838063236_noac_ops.h5,SVI04_npp_d20191112_t1643480_e1645122_b41673_c20191112180846946817_noac_ops.dspace_rad,VNFF_npp_d20191112_t1643480_e1645122_b41673_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,11.694905;9.839480;7.442154;2.585320;4.824658;6.795032,117.886795;131.813766;145.464844;144.243439;130.686981;116.940147,npp_d20191112_t1643480_e1645122_b41673;npp_d20191112_t1645134_e1646376_b41673;npp_d20191112_t1646388_e1648030_b41673;npp_d20191112_t1648042_e1649284_b41673,160.166,126.72,58.2902,97.964,16.2832,-58.1438
14,VBD_npp_d20191112_t1645119_x1213187E_y062658N_l0760_s0636_v23,2019-12-09 19:45:29,6.265834,121.318657,30.1355,2019-11-12 16:45:11,2019-11-13 00:45:11,760,636,0.101533,2,2209,0.355275,0.310428,0.682368,0.4,0.624161,0.75,0.262311,0.0001,0.00178366,999999,-1.288386e-02,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20191112_t1643480_e1645122_b41673_c20191112180838073139_noac_ops.h5,GDNBO_npp_d20191112_t1643480_e1645122_b41673_c20191112180838063236_noac_ops.h5,SVI04_npp_d20191112_t1643480_e1645122_b41673_c20191112180846946817_noac_ops.dspace_rad,VNFF_npp_d20191112_t1643480_e1645122_b41673_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,11.694905;9.839480;7.442154;2.585320;4.824658;6.795032,117.886795;131.813766;145.464844;144.243439;130.686981;116.940147,npp_d20191112_t1643480_e1645122_b41673;npp_d20191112_t1645134_e1646376_b41673;npp_d20191112_t1646388_e1648030_b41673;npp_d20191112_t1648042_e1649284_b41673,160.156,126.77,58.2905,97.8394,16.2917,-58.0779
