id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
2,VBD_npp_d20200106_t1614106_x1293231E_y016572N_l0639_s0778_v23,2020-02-15 21:21:22,1.657249,129.323135,5.55709,2020-01-06 16:14:10,2020-01-07 01:14:10,639,778,0.0442018,10,2689,0.184456,0.161628,0.353606,0.4,0.608446,0.75,0.0219759,0.0001,0.118193,999999,8.370950e-02,3,Indonesian Exclusive Economic Zone,WPP717,,SVDNB_npp_d20200106_t1613009_e1614251_b42453_c20200106173547156305_nobc_ops.h5,GDNBO_npp_d20200106_t1613009_e1614251_b42453_c20200106173547147256_nobc_ops.h5,SVI04_npp_d20200106_t1613009_e1614251_b42453_c20200106173549736286_nobc_ops.dspace_rad,VNFF_npp_d20200106_t1613009_e1614251_b42453_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,6.519835;4.530119;2.302251;-2.576051;-0.485557;1.636409,124.877357;138.622971;152.191452;151.089752;137.507111;123.825798,npp_d20200106_t1608465_e1610106_b42453;npp_d20200106_t1610119_e1611360_b42453;npp_d20200106_t1611373_e1612597_b42453;npp_d20200106_t1613009_e1614251_b42453,156.377,152.784,54.7746,98.2603,66.6155,-73.8388
1,VBD_npp_d20200106_t1615431_x1249639E_y031554S_l0698_s0320_v23,2020-02-15 21:29:54,-3.155403,124.963913,9.69395,2020-01-06 16:15:43,2020-01-07 00:15:43,698,320,0.0309714,10,2689,0.0996501,0.0875,0.181342,0.4,0.44156,0.75,0.0247694,0.0001,0.192325,999999,-6.601189e-02,3,Indonesian Exclusive Economic Zone,WPP714,,SVDNB_npp_d20200106_t1614263_e1615505_b42453_c20200106173549709839_nobc_ops.h5,GDNBO_npp_d20200106_t1614263_e1615505_b42453_c20200106173549693015_nobc_ops.h5,SVI04_npp_d20200106_t1614263_e1615505_b42453_c20200106173605820263_nobc_ops.dspace_rad,VNFF_npp_d20200106_t1614263_e1615505_b42453_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,1.639135;-0.490931;-2.573943;-7.466228;-5.505579;-3.227591,123.821442;137.499451;151.084854;150.089752;136.382980;122.669609,npp_d20200106_t1614263_e1615505_b42453;npp_d20200106_t1615517_e1617159_b42453;npp_d20200106_t1617171_e1618413_b42453;npp_d20200106_t1618425_e1620067_b42453,153.328,164.486,64.9081,99.5251,64.2479,-71.0285
2,VBD_npp_d20200106_t1615200_x1253659E_y018054S_l0485_s0331_v23,2020-02-15 21:29:54,-1.805412,125.365883,5.11377,2020-01-06 16:15:20,2020-01-07 01:15:20,485,331,0.277725,10,2689,0.0885073,0.0875,0.193,0.4,0.47746,0.75,0.025078,0.0001,0.207606,999999,3.015927e-01,3,Indonesian Exclusive Economic Zone,WPP714,,SVDNB_npp_d20200106_t1614263_e1615505_b42453_c20200106173549709839_nobc_ops.h5,GDNBO_npp_d20200106_t1614263_e1615505_b42453_c20200106173549693015_nobc_ops.h5,SVI04_npp_d20200106_t1614263_e1615505_b42453_c20200106173605820263_nobc_ops.dspace_rad,VNFF_npp_d20200106_t1614263_e1615505_b42453_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,1.639135;-0.490931;-2.573943;-7.466228;-5.505579;-3.227591,123.821442;137.499451;151.084854;150.089752;136.382980;122.669609,npp_d20200106_t1614263_e1615505_b42453;npp_d20200106_t1615517_e1617159_b42453;npp_d20200106_t1617171_e1618413_b42453;npp_d20200106_t1618425_e1620067_b42453,154.539,163.103,64.6976,99.4044,64.1079,-71.7346
3,VBD_npp_d20200106_t1615164_x1264722E_y018170S_l0459_s0487_v23,2020-02-15 21:29:54,-1.816983,126.472221,3.30761,2020-01-06 16:15:16,2020-01-07 01:15:16,459,487,0.365927,10,2689,0.0828553,0.06138,0.259939,0.4,0.268176,0.75,0.0237955,0.0001,0.17584,999999,3.692958e-01,3,Indonesian Exclusive Economic Zone,WPP715,,SVDNB_npp_d20200106_t1614263_e1615505_b42453_c20200106173549709839_nobc_ops.h5,GDNBO_npp_d20200106_t1614263_e1615505_b42453_c20200106173549693015_nobc_ops.h5,SVI04_npp_d20200106_t1614263_e1615505_b42453_c20200106173605820263_nobc_ops.dspace_rad,VNFF_npp_d20200106_t1614263_e1615505_b42453_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,1.639135;-0.490931;-2.573943;-7.466228;-5.505579;-3.227591,123.821442;137.499451;151.084854;150.089752;136.382980;122.669609,npp_d20200106_t1614263_e1615505_b42453;npp_d20200106_t1615517_e1617159_b42453;npp_d20200106_t1617171_e1618413_b42453;npp_d20200106_t1618425_e1620067_b42453,154.191,160.913,61.6103,99.116,65.1561,-71.9315
4,VBD_npp_d20200106_t1614266_x1279287E_y010009N_l0002_s0602_v23,2020-02-15 21:29:54,1.000908,127.928688,5.44709,2020-01-06 16:14:26,2020-01-07 01:14:26,2,602,0.358174,2,2721,0.16681,0.104409,0.424183,0.4,0.561805,0.75,0.0231058,0.0001,0.173698,999999,999999,3,Indonesian Exclusive Economic Zone,WPP715,,SVDNB_npp_d20200106_t1614263_e1615505_b42453_c20200106173549709839_nobc_ops.h5,GDNBO_npp_d20200106_t1614263_e1615505_b42453_c20200106173549693015_nobc_ops.h5,SVI04_npp_d20200106_t1614263_e1615505_b42453_c20200106173605820263_nobc_ops.dspace_rad,VNFF_npp_d20200106_t1614263_e1615505_b42453_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,1.639135;-0.490931;-2.573943;-7.466228;-5.505579;-3.227591,123.821442;137.499451;151.084854;150.089752;136.382980;122.669609,npp_d20200106_t1614263_e1615505_b42453;npp_d20200106_t1615517_e1617159_b42453;npp_d20200106_t1617171_e1618413_b42453;npp_d20200106_t1618425_e1620067_b42453,156.358,156.138,59.0964,98.9441,65.5176,-73.405
5,VBD_npp_d20200106_t1614337_x1280073E_y004765N_l0078_s0629_v23,2020-02-15 21:29:54,0.476505,128.007278,19.0879,2020-01-06 16:14:33,2020-01-07 01:14:33,78,629,0.150329,6,264865,0.368661,0.0827316,0.563642,0.4,0.685838,0.75,0.0228346,0.0001,0.154706,1.16265,-1.243477e-02,3,,,,SVDNB_npp_d20200106_t1614263_e1615505_b42453_c20200106173549709839_nobc_ops.h5,GDNBO_npp_d20200106_t1614263_e1615505_b42453_c20200106173549693015_nobc_ops.h5,SVI04_npp_d20200106_t1614263_e1615505_b42453_c20200106173605820263_nobc_ops.dspace_rad,VNFF_npp_d20200106_t1614263_e1615505_b42453_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,1.639135;-0.490931;-2.573943;-7.466228;-5.505579;-3.227591,123.821442;137.499451;151.084854;150.089752;136.382980;122.669609,npp_d20200106_t1614263_e1615505_b42453;npp_d20200106_t1615517_e1617159_b42453;npp_d20200106_t1617171_e1618413_b42453;npp_d20200106_t1618425_e1620067_b42453,155.834,156.393,58.4719,98.5208,65.7725,-73.1815
6,VBD_npp_d20200106_t1615235_x1320385E_y030923S_l0514_s1329_v23,2020-02-15 21:29:54,-3.092268,132.038513,3.98809,2020-01-06 16:15:23,2020-01-07 01:15:23,514,1329,0.0222935,2,2209,0.0920491,0.0874026,0.408758,0.4,0.372613,0.75,0.0167198,0.0001,0.00891678,999999,3.293526e-01,3,Indonesian Exclusive Economic Zone,WPP715,,SVDNB_npp_d20200106_t1614263_e1615505_b42453_c20200106173549709839_nobc_ops.h5,GDNBO_npp_d20200106_t1614263_e1615505_b42453_c20200106173549693015_nobc_ops.h5,SVI04_npp_d20200106_t1614263_e1615505_b42453_c20200106173605820263_nobc_ops.dspace_rad,VNFF_npp_d20200106_t1614263_e1615505_b42453_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,1.639135;-0.490931;-2.573943;-7.466228;-5.505579;-3.227591,123.821442;137.499451;151.084854;150.089752;136.382980;122.669609,npp_d20200106_t1614263_e1615505_b42453;npp_d20200106_t1615517_e1617159_b42453;npp_d20200106_t1617171_e1618413_b42453;npp_d20200106_t1618425_e1620067_b42453,150.769,151.806,36.6879,99.5133,70.9037,-72.3819
7,VBD_npp_d20200106_t1614319_x1348797E_y004030S_l0049_s1651_v23,2020-02-15 21:29:54,-0.403048,134.879669,5.41307,2020-01-06 16:14:31,2020-01-07 01:14:31,49,1651,0.00273245,2,2209,0.121208,0.0994429,0.489748,0.4,0.3453,0.75,0.0144908,0.0001,0.000283632,999999,2.175116e-01,3,Indonesian Exclusive Economic Zone,WPP717,,SVDNB_npp_d20200106_t1614263_e1615505_b42453_c20200106173549709839_nobc_ops.h5,GDNBO_npp_d20200106_t1614263_e1615505_b42453_c20200106173549693015_nobc_ops.h5,SVI04_npp_d20200106_t1614263_e1615505_b42453_c20200106173605820263_nobc_ops.dspace_rad,VNFF_npp_d20200106_t1614263_e1615505_b42453_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,1.639135;-0.490931;-2.573943;-7.466228;-5.505579;-3.227591,123.821442;137.499451;151.084854;150.089752;136.382980;122.669609,npp_d20200106_t1614263_e1615505_b42453;npp_d20200106_t1615517_e1617159_b42453;npp_d20200106_t1617171_e1618413_b42453;npp_d20200106_t1618425_e1620067_b42453,151.688,145.084,21.6369,99.7736,72.6443,-73.6224
8,VBD_npp_d20200106_t1614426_x1347384E_y010779S_l0152_s1652_v23,2020-02-15 21:29:54,-1.077908,134.738358,6.48545,2020-01-06 16:14:42,2020-01-07 01:14:42,152,1652,0.00251905,10,2177,0.104035,0.0942877,0.318083,0.4,0.390536,0.75,0.0144292,0.0001,0.000264933,999999,2.822681e-01,3,Indonesian Exclusive Economic Zone,WPP717,,SVDNB_npp_d20200106_t1614263_e1615505_b42453_c20200106173549709839_nobc_ops.h5,GDNBO_npp_d20200106_t1614263_e1615505_b42453_c20200106173549693015_nobc_ops.h5,SVI04_npp_d20200106_t1614263_e1615505_b42453_c20200106173605820263_nobc_ops.dspace_rad,VNFF_npp_d20200106_t1614263_e1615505_b42453_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,1.639135;-0.490931;-2.573943;-7.466228;-5.505579;-3.227591,123.821442;137.499451;151.084854;150.089752;136.382980;122.669609,npp_d20200106_t1614263_e1615505_b42453;npp_d20200106_t1615517_e1617159_b42453;npp_d20200106_t1617171_e1618413_b42453;npp_d20200106_t1618425_e1620067_b42453,151.187,145.933,21.5807,98.7607,72.7422,-73.3988
9,VBD_npp_d20200106_t1614497_x1350113E_y015329S_l0213_s1706_v23,2020-02-15 21:29:54,-1.532926,135.011322,3.63795,2020-01-06 16:14:49,2020-01-07 01:14:49,213,1706,0.00195001,2,2209,0.127371,0.120296,0.44076,0.4,0.48782,0.75,0.0139629,0.0001,0.000109361,999999,-4.443670e-02,3,Indonesian Exclusive Economic Zone,WPP717,,SVDNB_npp_d20200106_t1614263_e1615505_b42453_c20200106173549709839_nobc_ops.h5,GDNBO_npp_d20200106_t1614263_e1615505_b42453_c20200106173549693015_nobc_ops.h5,SVI04_npp_d20200106_t1614263_e1615505_b42453_c20200106173605820263_nobc_ops.dspace_rad,VNFF_npp_d20200106_t1614263_e1615505_b42453_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,1.639135;-0.490931;-2.573943;-7.466228;-5.505579;-3.227591,123.821442;137.499451;151.084854;150.089752;136.382980;122.669609,npp_d20200106_t1614263_e1615505_b42453;npp_d20200106_t1615517_e1617159_b42453;npp_d20200106_t1617171_e1618413_b42453;npp_d20200106_t1618425_e1620067_b42453,150.64,145.934,18.6997,99.2927,73.1637,-73.2923
10,VBD_npp_d20200106_t1615057_x1359060E_y026692S_l0360_s1871_v23,2020-02-15 21:29:54,-2.669221,135.905991,5.19568,2020-01-06 16:15:05,2020-01-07 01:15:05,360,1871,0.00372828,10,2177,0.125968,0.110136,0.382078,0.4,0.367991,0.75,0.0125732,0.0001,3.38078e-06,999999,8.318848e-02,3,Indonesian Exclusive Economic Zone,WPP717,,SVDNB_npp_d20200106_t1614263_e1615505_b42453_c20200106173549709839_nobc_ops.h5,GDNBO_npp_d20200106_t1614263_e1615505_b42453_c20200106173549693015_nobc_ops.h5,SVI04_npp_d20200106_t1614263_e1615505_b42453_c20200106173605820263_nobc_ops.dspace_rad,VNFF_npp_d20200106_t1614263_e1615505_b42453_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,1.639135;-0.490931;-2.573943;-7.466228;-5.505579;-3.227591,123.821442;137.499451;151.084854;150.089752;136.382980;122.669609,npp_d20200106_t1614263_e1615505_b42453;npp_d20200106_t1615517_e1617159_b42453;npp_d20200106_t1617171_e1618413_b42453;npp_d20200106_t1618425_e1620067_b42453,149.16,145.63,9.45182,98.7118,74.4161,-73.0775
