id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
1,VBD_npp_d20200606_t1526393_x1377803E_y090751S_l0257_s0549_v23,2020-08-04 16:13:42,-9.075052,137.780334,12.626,2020-06-06 15:26:39,2020-06-07 00:26:39,257,549,0.351488,1,2273,0.452539,0.386921,0.652061,0.4,0.786518,0.75,0.196823,0.0001,1.95248e-06,999999,-9.802004e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200606_t1526105_e1527347_b44609_c20200606164818685829_nobc_ops.h5,GDNBO_npp_d20200606_t1526105_e1527347_b44609_c20200606164818676400_nobc_ops.h5,SVI04_npp_d20200606_t1526105_e1527347_b44609_c20200606164818774476_nobc_ops.dspace_rad,VNFF_npp_d20200606_t1526105_e1527347_b44609_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-6.734474;-9.149662;-11.018630;-15.926082;-14.158343;-11.560042,134.445923;148.239655;162.098083;161.260132;147.090958;133.079712,npp_d20200606_t1526105_e1527347_b44609;npp_d20200606_t1527359_e1528583_b44609;npp_d20200606_t1528595_e1530237_b44609;npp_d20200606_t1530250_e1531491_b44609,163.451,33.2085,60.3084,100.943,14.6157,171.314
3,VBD_npp_d20200606_t1704166_x1136414E_y046086N_l0756_s0261_v23,2020-08-04 17:08:09,4.608634,113.641426,43.7807,2020-06-06 17:04:16,2020-06-07 01:04:16,756,261,0.180631,4,18821,0.370152,0.318598,0.357889,0.4,0.685726,0.75,0.167492,0.0001,1.06548e-09,999999,-2.578304e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20200606_t1702527_e1704169_b44610_c20200606182655677934_nobc_ops.h5,GDNBO_npp_d20200606_t1702527_e1704169_b44610_c20200606182655673444_nobc_ops.h5,SVI04_npp_d20200606_t1702527_e1704169_b44610_c20200606182657705694_nobc_ops.dspace_rad,VNFF_npp_d20200606_t1702527_e1704169_b44610_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,0.0429751,VBD_bridges_c20160811.shp,9.668008;7.757653;5.426281;0.558016;2.742065;4.775779,112.821457;126.667824;140.277756;139.104477;125.545677;111.838554,npp_d20200606_t1702527_e1704169_b44610;npp_d20200606_t1704181_e1705423_b44610;npp_d20200606_t1705435_e1707077_b44610;npp_d20200606_t1707089_e1708331_b44610,150.953,19.2628,65.9481,98.1217,28.6028,174.081
4,VBD_npp_d20200606_t1704131_x1137291E_y047443N_l0733_s0269_v23,2020-08-04 17:08:09,4.744350,113.729080,480.8,2020-06-06 17:04:13,2020-06-07 01:04:13,733,269,0.260653,4,117229,0.964462,0.290965,0.722132,0.4,0.819923,0.75,0.167519,0.0001,1.20624e-09,999999,-1.082587e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20200606_t1702527_e1704169_b44610_c20200606182655677934_nobc_ops.h5,GDNBO_npp_d20200606_t1702527_e1704169_b44610_c20200606182655673444_nobc_ops.h5,SVI04_npp_d20200606_t1702527_e1704169_b44610_c20200606182657705694_nobc_ops.dspace_rad,VNFF_npp_d20200606_t1702527_e1704169_b44610_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,0.761782,VBD_bridges_c20160811.shp,9.668008;7.757653;5.426281;0.558016;2.742065;4.775779,112.821457;126.667824;140.277756;139.104477;125.545677;111.838554,npp_d20200606_t1702527_e1704169_b44610;npp_d20200606_t1704181_e1705423_b44610;npp_d20200606_t1705435_e1707077_b44610;npp_d20200606_t1707089_e1708331_b44610,150.801,19.3113,65.8111,97.7918,28.7322,174.249
5,VBD_npp_d20200606_t1704148_x1138568E_y046763N_l0741_s0290_v23,2020-08-04 17:08:09,4.676294,113.856750,2267.01,2020-06-06 17:04:14,2020-06-07 01:04:14,741,290,0.466222,4,100837,1.98292,0.105129,0.830237,0.4,0.990257,0.75,0.167592,0.0001,1.57892e-09,999999,8.976254e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20200606_t1702527_e1704169_b44610_c20200606182655677934_nobc_ops.h5,GDNBO_npp_d20200606_t1702527_e1704169_b44610_c20200606182655673444_nobc_ops.h5,SVI04_npp_d20200606_t1702527_e1704169_b44610_c20200606182657705694_nobc_ops.dspace_rad,VNFF_npp_d20200606_t1702527_e1704169_b44610_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.668008;7.757653;5.426281;0.558016;2.742065;4.775779,112.821457;126.667824;140.277756;139.104477;125.545677;111.838554,npp_d20200606_t1702527_e1704169_b44610;npp_d20200606_t1704181_e1705423_b44610;npp_d20200606_t1705435_e1707077_b44610;npp_d20200606_t1707089_e1708331_b44610,150.82,19.5902,65.4381,98.0835,28.6501,174.496
6,VBD_npp_d20200606_t1704131_x1139392E_y047013N_l0735_s0300_v23,2020-08-04 17:08:09,4.701340,113.939156,354.473,2020-06-06 17:04:13,2020-06-07 01:04:13,735,300,0.363224,4,100845,1.59992,0.195896,0.864036,0.4,0.982817,0.75,0.167626,0.0001,1.94998e-09,999999,4.063272e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20200606_t1702527_e1704169_b44610_c20200606182655677934_nobc_ops.h5,GDNBO_npp_d20200606_t1702527_e1704169_b44610_c20200606182655673444_nobc_ops.h5,SVI04_npp_d20200606_t1702527_e1704169_b44610_c20200606182657705694_nobc_ops.dspace_rad,VNFF_npp_d20200606_t1702527_e1704169_b44610_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.668008;7.757653;5.426281;0.558016;2.742065;4.775779,112.821457;126.667824;140.277756;139.104477;125.545677;111.838554,npp_d20200606_t1702527_e1704169_b44610;npp_d20200606_t1704181_e1705423_b44610;npp_d20200606_t1705435_e1707077_b44610;npp_d20200606_t1707089_e1708331_b44610,150.771,19.7072,65.2522,97.7427,28.6682,174.646
7,VBD_npp_d20200606_t1704095_x1140694E_y049501N_l0695_s0311_v23,2020-08-04 17:08:09,4.950098,114.069443,93.6135,2020-06-06 17:04:09,2020-06-07 01:04:09,695,311,0.265277,4,100837,0.840643,0.241004,0.696122,0.4,0.888283,0.75,0.167661,0.0001,1.96667e-09,999999,1.621675e-01,3,Bruneian Exclusive Economic Zone,,,SVDNB_npp_d20200606_t1702527_e1704169_b44610_c20200606182655677934_nobc_ops.h5,GDNBO_npp_d20200606_t1702527_e1704169_b44610_c20200606182655673444_nobc_ops.h5,SVI04_npp_d20200606_t1702527_e1704169_b44610_c20200606182657705694_nobc_ops.dspace_rad,VNFF_npp_d20200606_t1702527_e1704169_b44610_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.668008;7.757653;5.426281;0.558016;2.742065;4.775779,112.821457;126.667824;140.277756;139.104477;125.545677;111.838554,npp_d20200606_t1702527_e1704169_b44610;npp_d20200606_t1704181_e1705423_b44610;npp_d20200606_t1705435_e1707077_b44610;npp_d20200606_t1707089_e1708331_b44610,150.498,19.7601,65.0405,97.973,28.9089,174.912
8,VBD_npp_d20200606_t1703535_x1143413E_y058271N_l0556_s0323_v23,2020-08-04 17:08:09,5.827136,114.341331,36.1555,2020-06-06 17:03:53,2020-06-07 01:03:53,556,323,0.312579,4,100837,0.687622,0.302449,0.67428,0.4,0.891134,0.75,0.166152,0.0001,1.70747e-09,999999,-1.704234e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20200606_t1702527_e1704169_b44610_c20200606182655677934_nobc_ops.h5,GDNBO_npp_d20200606_t1702527_e1704169_b44610_c20200606182655673444_nobc_ops.h5,SVI04_npp_d20200606_t1702527_e1704169_b44610_c20200606182657705694_nobc_ops.dspace_rad,VNFF_npp_d20200606_t1702527_e1704169_b44610_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.668008;7.757653;5.426281;0.558016;2.742065;4.775779,112.821457;126.667824;140.277756;139.104477;125.545677;111.838554,npp_d20200606_t1702527_e1704169_b44610;npp_d20200606_t1704181_e1705423_b44610;npp_d20200606_t1705435_e1707077_b44610;npp_d20200606_t1707089_e1708331_b44610,149.604,19.6006,64.8194,97.6266,29.7781,175.439
9,VBD_npp_d20200606_t1704131_x1141547E_y046838N_l0733_s0331_v23,2020-08-04 17:08:09,4.683784,114.154732,140.086,2020-06-06 17:04:13,2020-06-07 01:04:13,733,331,0.317203,4,35301,1.09705,0.251064,0.808418,0.4,0.944707,0.75,0.167724,0.0001,3.03286e-09,999999,1.077140e-01,3,Bruneian Exclusive Economic Zone,,,SVDNB_npp_d20200606_t1702527_e1704169_b44610_c20200606182655677934_nobc_ops.h5,GDNBO_npp_d20200606_t1702527_e1704169_b44610_c20200606182655673444_nobc_ops.h5,SVI04_npp_d20200606_t1702527_e1704169_b44610_c20200606182657705694_nobc_ops.dspace_rad,VNFF_npp_d20200606_t1702527_e1704169_b44610_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.668008;7.757653;5.426281;0.558016;2.742065;4.775779,112.821457;126.667824;140.277756;139.104477;125.545677;111.838554,npp_d20200606_t1702527_e1704169_b44610;npp_d20200606_t1704181_e1705423_b44610;npp_d20200606_t1705435_e1707077_b44610;npp_d20200606_t1707089_e1708331_b44610,150.715,20.0961,64.6758,97.818,28.6309,175.06
10,VBD_npp_d20200606_t1704113_x1141887E_y047633N_l0720_s0333_v23,2020-08-04 17:08:09,4.763259,114.188660,566.956,2020-06-06 17:04:11,2020-06-07 01:04:11,720,333,0.335697,4,35301,1.04876,0.233764,0.808033,0.4,0.91429,0.75,0.16773,0.0001,3.1047e-09,999999,2.013575e-01,3,Bruneian Exclusive Economic Zone,,,SVDNB_npp_d20200606_t1702527_e1704169_b44610_c20200606182655677934_nobc_ops.h5,GDNBO_npp_d20200606_t1702527_e1704169_b44610_c20200606182655673444_nobc_ops.h5,SVI04_npp_d20200606_t1702527_e1704169_b44610_c20200606182657705694_nobc_ops.dspace_rad,VNFF_npp_d20200606_t1702527_e1704169_b44610_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.668008;7.757653;5.426281;0.558016;2.742065;4.775779,112.821457;126.667824;140.277756;139.104477;125.545677;111.838554,npp_d20200606_t1702527_e1704169_b44610;npp_d20200606_t1704181_e1705423_b44610;npp_d20200606_t1705435_e1707077_b44610;npp_d20200606_t1707089_e1708331_b44610,150.631,20.0938,64.6351,97.6952,28.7089,175.125
11,VBD_npp_d20200606_t1704131_x1141940E_y047638N_l0721_s0335_v23,2020-08-04 17:08:09,4.763849,114.194031,409.234,2020-06-06 17:04:13,2020-06-07 01:04:13,721,335,0.289319,4,35301,1.24342,0.228442,0.797801,0.4,0.958503,0.75,0.167737,0.0001,2.84274e-09,999999,2.301637e-01,3,Bruneian Exclusive Economic Zone,,,SVDNB_npp_d20200606_t1702527_e1704169_b44610_c20200606182655677934_nobc_ops.h5,GDNBO_npp_d20200606_t1702527_e1704169_b44610_c20200606182655673444_nobc_ops.h5,SVI04_npp_d20200606_t1702527_e1704169_b44610_c20200606182657705694_nobc_ops.dspace_rad,VNFF_npp_d20200606_t1702527_e1704169_b44610_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.668008;7.757653;5.426281;0.558016;2.742065;4.775779,112.821457;126.667824;140.277756;139.104477;125.545677;111.838554,npp_d20200606_t1702527_e1704169_b44610;npp_d20200606_t1704181_e1705423_b44610;npp_d20200606_t1705435_e1707077_b44610;npp_d20200606_t1707089_e1708331_b44610,150.626,20.1158,64.6008,98.234,28.7085,175.149
12,VBD_npp_d20200606_t1704131_x1142673E_y046468N_l0736_s0348_v23,2020-08-04 17:08:09,4.646834,114.267281,34.0153,2020-06-06 17:04:13,2020-06-07 01:04:13,736,348,0.336835,1,2529,0.663283,0.284722,0.692513,0.4,0.851519,0.75,0.167778,0.0001,3.99948e-09,999999,-7.446619e-02,3,Bruneian Exclusive Economic Zone,,,SVDNB_npp_d20200606_t1702527_e1704169_b44610_c20200606182655677934_nobc_ops.h5,GDNBO_npp_d20200606_t1702527_e1704169_b44610_c20200606182655673444_nobc_ops.h5,SVI04_npp_d20200606_t1702527_e1704169_b44610_c20200606182657705694_nobc_ops.dspace_rad,VNFF_npp_d20200606_t1702527_e1704169_b44610_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.668008;7.757653;5.426281;0.558016;2.742065;4.775779,112.821457;126.667824;140.277756;139.104477;125.545677;111.838554,npp_d20200606_t1702527_e1704169_b44610;npp_d20200606_t1704181_e1705423_b44610;npp_d20200606_t1705435_e1707077_b44610;npp_d20200606_t1707089_e1708331_b44610,150.71,20.3157,64.3594,97.7231,28.5839,175.273
