id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
1,VBD_npp_d20240522_t1512267_x1401726E_y004318S_l0356_s0160_v23,2024-06-17 22:33:38,-0.431847,140.172638,28.8382,2024-05-22 15:12:26,2024-05-23 00:12:26,356,160,0.35917,1,2529,0.68963,0.258632,0.803978,0.4,0.904259,0.75,0.170225,0.0001,2.22794e-05,999999,1.147278e-01,3,Indonesian Exclusive Economic Zone,WPP717,,SVDNB_npp_d20240522_t1511472_e1513114_b65124_c20240522163701106000_oebc_ops.h5,GDNBO_npp_d20240522_t1511472_e1513114_b65124_c20240522163452856000_oebc_ops.h5,SVI04_npp_d20240522_t1511472_e1513114_b65124_c20240522163708328000_oebc_ops.dspace_rad,VNFF_npp_d20240522_t1511472_e1513114_b65124_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,1.997190;-0.122674;-2.216351;-7.106353;-5.137289;-2.870630,139.600418;153.278580;166.864868;165.858383;152.162140;138.456985,npp_d20240522_t1507310_e1508552_b65124;npp_d20240522_t1508564_e1510206_b65124;npp_d20240522_t1510218_e1511460_b65124;npp_d20240522_t1511472_e1513114_b65124,157.991,23.2745,67.7125,99.1917,29.7046,-135.815
1,VBD_npp_d20240522_t1515548_x1366684E_y122032S_l0692_s0105_v23,2024-06-17 22:37:58,-12.203167,136.668350,10.7522,2024-05-22 15:15:54,2024-05-23 00:45:54,692,105,0.335981,2,2465,0.338108,0.320702,0.720029,0.4,0.74149,0.75,0.187733,0.0001,0.000138805,999999,-5.201719e-01,1,Australian Exclusive Economic Zone,,,SVDNB_npp_d20240522_t1514381_e1516022_b65124_c20240522163712959000_oebc_ops.h5,GDNBO_npp_d20240522_t1514381_e1516022_b65124_c20240522163452668000_oebc_ops.h5,SVI04_npp_d20240522_t1514381_e1516022_b65124_c20240522163720641000_oebc_ops.dspace_rad,VNFF_npp_d20240522_t1514381_e1516022_b65124_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-7.710067;-10.159197;-12.002816;-16.910591;-15.166548;-12.530793,137.182465;151.018005;164.938812;164.125412;149.865585;135.797501,npp_d20240522_t1513127_e1514368_b65124;npp_d20240522_t1514381_e1516022_b65124;npp_d20240522_t1516035_e1517276_b65124;npp_d20240522_t1517289_e1518530_b65124,169.595,35.7017,68.6532,102.272,20.2379,-118.398
127,VBD_npp_d20240522_t1651205_x1257161E_y072973N_l0755_s1479_v23,2024-06-17 23:13:25,7.297262,125.716064,70.3867,2024-05-22 16:51:20,2024-05-23 00:51:20,755,1479,0.427598,1,2529,0.862392,0.339797,0.749605,0.4,0.782985,0.75,0.142081,0.0001,0.0034727,999999,-1.687359e-01,1,Philippines Exclusive Economic Zone,,,SVDNB_npp_d20240522_t1649566_e1651208_b65125_c20240522181531277000_oebc_ops.h5,GDNBO_npp_d20240522_t1649566_e1651208_b65125_c20240522181328590000_oebc_ops.h5,SVI04_npp_d20240522_t1649566_e1651208_b65125_c20240522181543046000_oebc_ops.dspace_rad,VNFF_npp_d20240522_t1649566_e1651208_b65125_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,13.471586;11.655005;9.190227;4.339617;6.641031;8.569258,116.528549;130.561508;144.289536;143.023544;129.427170;115.617592,npp_d20240522_t1649566_e1651208_b65125;npp_d20240522_t1651220_e1652462_b65125;npp_d20240522_t1652474_e1654116_b65125;npp_d20240522_t1654128_e1655370_b65125,146.247,33.9722,30.1046,98.8542,42.1992,-133.924
1,VBD_npp_d20240522_t1652228_x1150783E_y050283N_l0553_s0027_v23,2024-06-17 23:13:25,5.028292,115.078255,48.7391,2024-05-22 16:52:22,2024-05-23 00:52:22,553,27,0.145137,2,2209,0.298358,0.267445,0.429718,0.4,0.530033,0.75,0.166061,0.0001,1.32489e-06,999999,-1.776208e-01,1,Bruneian Exclusive Economic Zone,,,SVDNB_npp_d20240522_t1651220_e1652462_b65125_c20240522181530644000_oebc_ops.h5,GDNBO_npp_d20240522_t1651220_e1652462_b65125_c20240522181335041000_oebc_ops.h5,SVI04_npp_d20240522_t1651220_e1652462_b65125_c20240522181537810000_oebc_ops.dspace_rad,VNFF_npp_d20240522_t1651220_e1652462_b65125_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.571857;6.635520;4.341136;-0.528968;1.620131;3.681122,115.610840;129.419113;143.017075;141.869751;128.300568;114.610947,npp_d20240522_t1649566_e1651208_b65125;npp_d20240522_t1651220_e1652462_b65125;npp_d20240522_t1652474_e1654116_b65125;npp_d20240522_t1654128_e1655370_b65125,152.917,18.7396,69.8173,97.7636,33.533,-143.284
2,VBD_npp_d20240522_t1651419_x1158468E_y073843N_l0178_s0067_v23,2024-06-17 23:13:25,7.384335,115.846825,178.345,2024-05-22 16:51:41,2024-05-23 00:51:41,178,67,0.257239,1,2529,1.16789,0.304759,0.80201,0.4,0.955679,0.75,0.160384,0.0001,7.21963e-07,999999,1.595867e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20240522_t1651220_e1652462_b65125_c20240522181530644000_oebc_ops.h5,GDNBO_npp_d20240522_t1651220_e1652462_b65125_c20240522181335041000_oebc_ops.h5,SVI04_npp_d20240522_t1651220_e1652462_b65125_c20240522181537810000_oebc_ops.dspace_rad,VNFF_npp_d20240522_t1651220_e1652462_b65125_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.571857;6.635520;4.341136;-0.528968;1.620131;3.681122,115.610840;129.419113;143.017075;141.869751;128.300568;114.610947,npp_d20240522_t1649566_e1651208_b65125;npp_d20240522_t1651220_e1652462_b65125;npp_d20240522_t1652474_e1654116_b65125;npp_d20240522_t1654128_e1655370_b65125,150.495,18.4558,69.1889,97.4594,35.8195,-144.547
3,VBD_npp_d20240522_t1651508_x1159310E_y067596N_l0271_s0096_v23,2024-06-17 23:13:25,6.759592,115.931000,32.1907,2024-05-22 16:51:50,2024-05-23 00:51:50,271,96,0.207732,1,2529,0.493943,0.36232,0.626446,0.4,0.789293,0.75,0.161553,0.0001,1.29546e-06,999999,-8.728515e-02,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20240522_t1651220_e1652462_b65125_c20240522181530644000_oebc_ops.h5,GDNBO_npp_d20240522_t1651220_e1652462_b65125_c20240522181335041000_oebc_ops.h5,SVI04_npp_d20240522_t1651220_e1652462_b65125_c20240522181537810000_oebc_ops.dspace_rad,VNFF_npp_d20240522_t1651220_e1652462_b65125_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.571857;6.635520;4.341136;-0.528968;1.620131;3.681122,115.610840;129.419113;143.017075;141.869751;128.300568;114.610947,npp_d20240522_t1649566_e1651208_b65125;npp_d20240522_t1651220_e1652462_b65125;npp_d20240522_t1652474_e1654116_b65125;npp_d20240522_t1654128_e1655370_b65125,151.048,19.033,68.7325,97.2202,35.3769,-143.874
4,VBD_npp_d20240522_t1651526_x1159432E_y067303N_l0276_s0099_v23,2024-06-17 23:13:25,6.730278,115.943214,26.9788,2024-05-22 16:51:52,2024-05-23 00:51:52,276,99,0.20574,1,2273,0.404369,0.345037,0.563809,0.4,0.752189,0.75,0.161604,0.0001,1.21644e-06,999999,-1.315947e-02,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20240522_t1651220_e1652462_b65125_c20240522181530644000_oebc_ops.h5,GDNBO_npp_d20240522_t1651220_e1652462_b65125_c20240522181335041000_oebc_ops.h5,SVI04_npp_d20240522_t1651220_e1652462_b65125_c20240522181537810000_oebc_ops.dspace_rad,VNFF_npp_d20240522_t1651220_e1652462_b65125_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.571857;6.635520;4.341136;-0.528968;1.620131;3.681122,115.610840;129.419113;143.017075;141.869751;128.300568;114.610947,npp_d20240522_t1649566_e1651208_b65125;npp_d20240522_t1651220_e1652462_b65125;npp_d20240522_t1652474_e1654116_b65125;npp_d20240522_t1654128_e1655370_b65125,151.069,19.0859,68.6788,97.5717,35.3645,-143.825
5,VBD_npp_d20240522_t1651543_x1159366E_y065756N_l0299_s0102_v23,2024-06-17 23:13:25,6.575599,115.936646,55.0745,2024-05-22 16:51:54,2024-05-23 00:51:54,299,102,0.167685,1,35297,0.654151,0.346539,0.649379,0.4,0.855784,0.75,0.161926,0.0001,1.40754e-06,999999,-1.959963e-02,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20240522_t1651220_e1652462_b65125_c20240522181530644000_oebc_ops.h5,GDNBO_npp_d20240522_t1651220_e1652462_b65125_c20240522181335041000_oebc_ops.h5,SVI04_npp_d20240522_t1651220_e1652462_b65125_c20240522181537810000_oebc_ops.dspace_rad,VNFF_npp_d20240522_t1651220_e1652462_b65125_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.571857;6.635520;4.341136;-0.528968;1.620131;3.681122,115.610840;129.419113;143.017075;141.869751;128.300568;114.610947,npp_d20240522_t1649566_e1651208_b65125;npp_d20240522_t1651220_e1652462_b65125;npp_d20240522_t1652474_e1654116_b65125;npp_d20240522_t1654128_e1655370_b65125,151.215,19.1794,68.6304,97.3821,35.2385,-143.693
6,VBD_npp_d20240522_t1651526_x1161506E_y066459N_l0284_s0130_v23,2024-06-17 23:13:25,6.645936,116.150566,1021.04,2024-05-22 16:51:52,2024-05-23 00:51:52,284,130,0.202468,4,100773,0.654045,0.277159,0.437222,0.4,0.733219,0.75,0.161462,0.0001,1.72783e-06,999999,2.779632e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20240522_t1651220_e1652462_b65125_c20240522181530644000_oebc_ops.h5,GDNBO_npp_d20240522_t1651220_e1652462_b65125_c20240522181335041000_oebc_ops.h5,SVI04_npp_d20240522_t1651220_e1652462_b65125_c20240522181537810000_oebc_ops.dspace_rad,VNFF_npp_d20240522_t1651220_e1652462_b65125_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.571857;6.635520;4.341136;-0.528968;1.620131;3.681122,115.610840;129.419113;143.017075;141.869751;128.300568;114.610947,npp_d20240522_t1649566_e1651208_b65125;npp_d20240522_t1651220_e1652462_b65125;npp_d20240522_t1652474_e1654116_b65125;npp_d20240522_t1654128_e1655370_b65125,151.081,19.5123,68.1754,97.3529,35.4194,-143.491
7,VBD_npp_d20240522_t1651508_x1162304E_y067826N_l0262_s0138_v23,2024-06-17 23:13:25,6.782577,116.230354,139.139,2024-05-22 16:51:50,2024-05-23 00:51:50,262,138,0.257168,4,100837,0.996329,0.304672,0.763525,0.4,0.931838,0.75,0.16106,0.0001,1.65587e-06,999999,1.599636e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20240522_t1651220_e1652462_b65125_c20240522181530644000_oebc_ops.h5,GDNBO_npp_d20240522_t1651220_e1652462_b65125_c20240522181335041000_oebc_ops.h5,SVI04_npp_d20240522_t1651220_e1652462_b65125_c20240522181537810000_oebc_ops.dspace_rad,VNFF_npp_d20240522_t1651220_e1652462_b65125_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.571857;6.635520;4.341136;-0.528968;1.620131;3.681122,115.610840;129.419113;143.017075;141.869751;128.300568;114.610947,npp_d20240522_t1649566_e1651208_b65125;npp_d20240522_t1651220_e1652462_b65125;npp_d20240522_t1652474_e1654116_b65125;npp_d20240522_t1654128_e1655370_b65125,150.928,19.5605,68.0484,97.5187,35.5741,-143.516
8,VBD_npp_d20240522_t1651508_x1162900E_y067676N_l0263_s0147_v23,2024-06-17 23:13:25,6.767648,116.289970,28.6155,2024-05-22 16:51:50,2024-05-23 00:51:50,263,147,0.230423,7,35233,0.441685,0.357257,0.678796,0.4,0.742942,0.75,0.160998,0.0001,1.80052e-06,999999,-6.557061e-02,3,,,,SVDNB_npp_d20240522_t1651220_e1652462_b65125_c20240522181530644000_oebc_ops.h5,GDNBO_npp_d20240522_t1651220_e1652462_b65125_c20240522181335041000_oebc_ops.h5,SVI04_npp_d20240522_t1651220_e1652462_b65125_c20240522181537810000_oebc_ops.dspace_rad,VNFF_npp_d20240522_t1651220_e1652462_b65125_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.571857;6.635520;4.341136;-0.528968;1.620131;3.681122,115.610840;129.419113;143.017075;141.869751;128.300568;114.610947,npp_d20240522_t1649566_e1651208_b65125;npp_d20240522_t1651220_e1652462_b65125;npp_d20240522_t1652474_e1654116_b65125;npp_d20240522_t1654128_e1655370_b65125,150.922,19.6769,67.904,97.4953,35.5976,-143.428
9,VBD_npp_d20240522_t1651365_x1169907E_y075032N_l0137_s0225_v23,2024-06-17 23:13:25,7.503224,116.990707,21.6548,2024-05-22 16:51:36,2024-05-23 00:51:36,137,225,0.355329,1,2529,0.540521,0.348562,0.770209,0.4,0.828892,0.75,0.158397,0.0001,2.6044e-06,999999,-2.827799e-02,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20240522_t1651220_e1652462_b65125_c20240522181530644000_oebc_ops.h5,GDNBO_npp_d20240522_t1651220_e1652462_b65125_c20240522181335041000_oebc_ops.h5,SVI04_npp_d20240522_t1651220_e1652462_b65125_c20240522181537810000_oebc_ops.dspace_rad,VNFF_npp_d20240522_t1651220_e1652462_b65125_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.571857;6.635520;4.341136;-0.528968;1.620131;3.681122,115.610840;129.419113;143.017075;141.869751;128.300568;114.610947,npp_d20240522_t1649566_e1651208_b65125;npp_d20240522_t1651220_e1652462_b65125;npp_d20240522_t1652474_e1654116_b65125;npp_d20240522_t1654128_e1655370_b65125,150.013,20.3676,66.5892,97.3284,36.5812,-143.245
10,VBD_npp_d20240522_t1651330_x1175464E_y076487N_l0104_s0299_v23,2024-06-17 23:13:25,7.648653,117.546379,300.019,2024-05-22 16:51:33,2024-05-23 00:51:33,104,299,0.365429,1,2529,1.39956,0.313752,0.860494,0.4,0.967694,0.75,0.157227,0.0001,4.38797e-06,999999,1.210175e-01,3,Philippines Exclusive Economic Zone,Region IV-B,,SVDNB_npp_d20240522_t1651220_e1652462_b65125_c20240522181530644000_oebc_ops.h5,GDNBO_npp_d20240522_t1651220_e1652462_b65125_c20240522181335041000_oebc_ops.h5,SVI04_npp_d20240522_t1651220_e1652462_b65125_c20240522181537810000_oebc_ops.dspace_rad,VNFF_npp_d20240522_t1651220_e1652462_b65125_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.571857;6.635520;4.341136;-0.528968;1.620131;3.681122,115.610840;129.419113;143.017075;141.869751;128.300568;114.610947,npp_d20240522_t1649566_e1651208_b65125;npp_d20240522_t1651220_e1652462_b65125;npp_d20240522_t1652474_e1654116_b65125;npp_d20240522_t1654128_e1655370_b65125,149.687,21.213,65.265,97.3862,37.0261,-142.709
