id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
1,VBD_npp_d20240721_t1625285_x1380519E_y075635N_l0733_s2331_v23,2024-08-15 23:39:24,7.563462,138.051880,13.1284,2024-07-21 16:25:28,2024-07-22 02:25:28,733,2331,0.226155,10,2177,0.255955,0.255422,0.399172,0.4,0.549115,0.75,0.191114,0.0001,0.000630768,999999,9.746022e-02,3,Micronesian Exclusive Economic Zone,,,SVDNB_npp_d20240721_t1624081_e1625323_b65976_c20240721175023068000_oeac_ops.h5,GDNBO_npp_d20240721_t1624081_e1625323_b65976_c20240721174830310000_oeac_ops.h5,SVI04_npp_d20240721_t1624081_e1625323_b65976_c20240721175030437000_oeac_ops.dspace_rad,VNFF_npp_d20240721_t1624081_e1625323_b65976_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,14.460946;12.669774;10.174043;5.325635;7.654837;9.555336,123.059822;137.135620;150.878632;149.584518;135.995819;122.163521,npp_d20240721_t1624081_e1625323_b65976;npp_d20240721_t1625335_e1626577_b65976;npp_d20240721_t1626590_e1628231_b65976;npp_d20240721_t1628244_e1629485_b65976,144.252,38.4793,16.9714,-79.8691,36.7816,-151.284
1,VBD_npp_d20240721_t1631101_x1200230E_y101327S_l0729_s0348_v23,2024-08-15 23:41:21,-10.132710,120.023033,20.1663,2024-07-21 16:31:10,2024-07-22 00:31:10,729,348,0.326805,2,2465,0.493322,0.420718,0.57831,0.4,0.732559,0.75,0.244532,0.0001,1.57451e-06,999999,-1.985467e-01,3,Indonesian Exclusive Economic Zone,WPP573,,SVDNB_npp_d20240721_t1629498_e1631139_b65976_c20240721175039357000_oeac_ops.h5,GDNBO_npp_d20240721_t1629498_e1631139_b65976_c20240721174847389000_oeac_ops.h5,SVI04_npp_d20240721_t1629498_e1631139_b65976_c20240721175046107000_oeac_ops.dspace_rad,VNFF_npp_d20240721_t1629498_e1631139_b65976_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-5.065257;-7.413936;-9.317493;-14.224405;-12.425318;-9.901584,118.868294;132.607727;146.369156;145.505798;131.470047;117.551582,npp_d20240721_t1629498_e1631139_b65976;npp_d20240721_t1631152_e1632393_b65976;npp_d20240721_t1632406_e1634047_b65976;npp_d20240721_t1634060_e1635302_b65976,168.231,29.752,64.4031,101.134,14.186,-174.567
2,VBD_npp_d20240721_t1630221_x1250868E_y081469S_l0294_s0981_v23,2024-08-15 23:41:21,-8.146916,125.086761,22.2766,2024-07-21 16:30:22,2024-07-22 00:30:22,294,981,0.374961,1,2529,0.505597,0.453083,0.68349,0.4,0.791603,0.75,0.240368,0.0001,0.000333383,999999,-3.277902e-01,3,,WPP714,,SVDNB_npp_d20240721_t1629498_e1631139_b65976_c20240721175039357000_oeac_ops.h5,GDNBO_npp_d20240721_t1629498_e1631139_b65976_c20240721174847389000_oeac_ops.h5,SVI04_npp_d20240721_t1629498_e1631139_b65976_c20240721175046107000_oeac_ops.dspace_rad,VNFF_npp_d20240721_t1629498_e1631139_b65976_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-5.065257;-7.413936;-9.317493;-14.224405;-12.425318;-9.901584,118.868294;132.607727;146.369156;145.505798;131.470047;117.551582,npp_d20240721_t1629498_e1631139_b65976;npp_d20240721_t1631152_e1632393_b65976;npp_d20240721_t1632406_e1634047_b65976;npp_d20240721_t1634060_e1635302_b65976,163.829,40.2417,49.0486,100.038,17.2661,-159.907
3,VBD_npp_d20240721_t1630594_x1259877E_y106162S_l0636_s1197_v23,2024-08-15 23:41:21,-10.616170,125.987717,14.2116,2024-07-21 16:30:59,2024-07-22 00:30:59,636,1197,0.404765,4,100837,0.530611,0.342747,0.772027,0.4,0.863694,0.75,0.243284,0.0001,0.00206,999999,1.100654e-01,3,Indonesian Exclusive Economic Zone,WPP573,,SVDNB_npp_d20240721_t1629498_e1631139_b65976_c20240721175039357000_oeac_ops.h5,GDNBO_npp_d20240721_t1629498_e1631139_b65976_c20240721174847389000_oeac_ops.h5,SVI04_npp_d20240721_t1629498_e1631139_b65976_c20240721175046107000_oeac_ops.dspace_rad,VNFF_npp_d20240721_t1629498_e1631139_b65976_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-5.065257;-7.413936;-9.317493;-14.224405;-12.425318;-9.901584,118.868294;132.607727;146.369156;145.505798;131.470047;117.551582,npp_d20240721_t1629498_e1631139_b65976;npp_d20240721_t1631152_e1632393_b65976;npp_d20240721_t1632406_e1634047_b65976;npp_d20240721_t1634060_e1635302_b65976,164.859,48.9149,41.7993,99.7268,15.3747,-153.354
4,VBD_npp_d20240721_t1631048_x1266181E_y110442S_l0683_s1302_v23,2024-08-15 23:41:21,-11.044203,126.618073,15.0077,2024-07-21 16:31:04,2024-07-22 00:31:04,683,1302,0.40889,4,117221,0.526294,0.40811,0.868057,0.4,0.832191,0.75,0.24332,0.0001,0.00408982,999999,-1.486443e-01,3,East Timorian Exclusive Economic Zone,,,SVDNB_npp_d20240721_t1629498_e1631139_b65976_c20240721175039357000_oeac_ops.h5,GDNBO_npp_d20240721_t1629498_e1631139_b65976_c20240721174847389000_oeac_ops.h5,SVI04_npp_d20240721_t1629498_e1631139_b65976_c20240721175046107000_oeac_ops.dspace_rad,VNFF_npp_d20240721_t1629498_e1631139_b65976_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,0.351703,VBD_bridges_c20160811.shp,-5.065257;-7.413936;-9.317493;-14.224405;-12.425318;-9.901584,118.868294;132.607727;146.369156;145.505798;131.470047;117.551582,npp_d20240721_t1629498_e1631139_b65976;npp_d20240721_t1631152_e1632393_b65976;npp_d20240721_t1632406_e1634047_b65976;npp_d20240721_t1634060_e1635302_b65976,164.64,51.5036,37.7784,99.6716,15.2959,-150.631
5,VBD_npp_d20240721_t1631048_x1266144E_y110645S_l0686_s1302_v23,2024-08-15 23:41:21,-11.064454,126.614403,196.008,2024-07-21 16:31:04,2024-07-22 00:31:04,686,1302,0.405832,4,100837,1.49538,0.402602,0.868057,0.4,0.97713,0.75,0.24332,0.0001,0.00413522,999999,-1.268407e-01,3,East Timorian Exclusive Economic Zone,,,SVDNB_npp_d20240721_t1629498_e1631139_b65976_c20240721175039357000_oeac_ops.h5,GDNBO_npp_d20240721_t1629498_e1631139_b65976_c20240721174847389000_oeac_ops.h5,SVI04_npp_d20240721_t1629498_e1631139_b65976_c20240721175046107000_oeac_ops.dspace_rad,VNFF_npp_d20240721_t1629498_e1631139_b65976_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-5.065257;-7.413936;-9.317493;-14.224405;-12.425318;-9.901584,118.868294;132.607727;146.369156;145.505798;131.470047;117.551582,npp_d20240721_t1629498_e1631139_b65976;npp_d20240721_t1631152_e1632393_b65976;npp_d20240721_t1632406_e1634047_b65976;npp_d20240721_t1634060_e1635302_b65976,164.656,51.5539,37.7796,99.4367,15.2762,-150.605
6,VBD_npp_d20240721_t1630256_x1273144E_y087485S_l0326_s1321_v23,2024-08-15 23:41:21,-8.748493,127.314354,12.3114,2024-07-21 16:30:25,2024-07-22 00:30:25,326,1321,0.389258,1,2273,0.461387,0.336012,0.664918,0.4,0.830091,0.75,0.239713,0.0001,0.00373421,999999,1.358766e-01,3,East Timorian Exclusive Economic Zone,,,SVDNB_npp_d20240721_t1629498_e1631139_b65976_c20240721175039357000_oeac_ops.h5,GDNBO_npp_d20240721_t1629498_e1631139_b65976_c20240721174847389000_oeac_ops.h5,SVI04_npp_d20240721_t1629498_e1631139_b65976_c20240721175046107000_oeac_ops.dspace_rad,VNFF_npp_d20240721_t1629498_e1631139_b65976_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-5.065257;-7.413936;-9.317493;-14.224405;-12.425318;-9.901584,118.868294;132.607727;146.369156;145.505798;131.470047;117.551582,npp_d20240721_t1629498_e1631139_b65976;npp_d20240721_t1631152_e1632393_b65976;npp_d20240721_t1632406_e1634047_b65976;npp_d20240721_t1634060_e1635302_b65976,162.738,46.6578,37.0125,99.7749,17.6098,-152.859
7,VBD_npp_d20240721_t1630363_x1302312E_y098705S_l0420_s1773_v23,2024-08-15 23:41:21,-9.870546,130.231186,16.2443,2024-07-21 16:30:36,2024-07-22 01:30:36,420,1773,0.385133,1,2273,0.454947,0.367006,0.640066,0.4,0.754381,0.75,0.238522,0.0001,0.0236466,999999,1.311992e-02,3,Australian Exclusive Economic Zone,,,SVDNB_npp_d20240721_t1629498_e1631139_b65976_c20240721175039357000_oeac_ops.h5,GDNBO_npp_d20240721_t1629498_e1631139_b65976_c20240721174847389000_oeac_ops.h5,SVI04_npp_d20240721_t1629498_e1631139_b65976_c20240721175046107000_oeac_ops.dspace_rad,VNFF_npp_d20240721_t1629498_e1631139_b65976_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-5.065257;-7.413936;-9.317493;-14.224405;-12.425318;-9.901584,118.868294;132.607727;146.369156;145.505798;131.470047;117.551582,npp_d20240721_t1629498_e1631139_b65976;npp_d20240721_t1631152_e1632393_b65976;npp_d20240721_t1632406_e1634047_b65976;npp_d20240721_t1634060_e1635302_b65976,161.187,54.5467,15.0231,100.004,18.205,-143.634
8,VBD_npp_d20240721_t1631137_x1306144E_y122075S_l0756_s1904_v23,2024-08-15 23:41:21,-12.207469,130.614410,70.9875,2024-07-21 16:31:13,2024-07-22 02:01:13,756,1904,0.385488,1,2529,0.906661,0.410889,0.803984,0.4,0.911424,0.75,0.240415,0.0001,0.0286934,999999,-1.606793e-01,3,Australian Exclusive Economic Zone,,,SVDNB_npp_d20240721_t1629498_e1631139_b65976_c20240721175039357000_oeac_ops.h5,GDNBO_npp_d20240721_t1629498_e1631139_b65976_c20240721174847389000_oeac_ops.h5,SVI04_npp_d20240721_t1629498_e1631139_b65976_c20240721175046107000_oeac_ops.dspace_rad,VNFF_npp_d20240721_t1629498_e1631139_b65976_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-5.065257;-7.413936;-9.317493;-14.224405;-12.425318;-9.901584,118.868294;132.607727;146.369156;145.505798;131.470047;117.551582,npp_d20240721_t1629498_e1631139_b65976;npp_d20240721_t1631152_e1632393_b65976;npp_d20240721_t1632406_e1634047_b65976;npp_d20240721_t1634060_e1635302_b65976,161.982,61.2385,7.53953,100.77,16.7023,-137.617
9,VBD_npp_d20240721_t1631137_x1306511E_y122408S_l0760_s1910_v23,2024-08-15 23:41:21,-12.240809,130.651093,31.101,2024-07-21 16:31:13,2024-07-22 02:01:13,760,1910,0.387693,1,2529,0.589492,0.328336,0.760301,0.4,0.810346,0.75,0.240378,0.0001,0.0289949,999999,1.662741e-01,3,Australian Exclusive Economic Zone,,,SVDNB_npp_d20240721_t1629498_e1631139_b65976_c20240721175039357000_oeac_ops.h5,GDNBO_npp_d20240721_t1629498_e1631139_b65976_c20240721174847389000_oeac_ops.h5,SVI04_npp_d20240721_t1629498_e1631139_b65976_c20240721175046107000_oeac_ops.dspace_rad,VNFF_npp_d20240721_t1629498_e1631139_b65976_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-5.065257;-7.413936;-9.317493;-14.224405;-12.425318;-9.901584,118.868294;132.607727;146.369156;145.505798;131.470047;117.551582,npp_d20240721_t1629498_e1631139_b65976;npp_d20240721_t1631152_e1632393_b65976;npp_d20240721_t1632406_e1634047_b65976;npp_d20240721_t1634060_e1635302_b65976,161.967,61.3735,7.18891,98.99,16.7019,-137.458
10,VBD_npp_d20240721_t1631137_x1306888E_y122674S_l0763_s1916_v23,2024-08-15 23:41:21,-12.267423,130.688843,21.9058,2024-07-21 16:31:13,2024-07-22 02:01:13,763,1916,0.382643,2,2209,0.452813,0.394824,0.668154,0.4,0.736801,0.75,0.24034,0.0001,0.0291804,999999,-9.705132e-02,3,Australian Exclusive Economic Zone,,,SVDNB_npp_d20240721_t1629498_e1631139_b65976_c20240721175039357000_oeac_ops.h5,GDNBO_npp_d20240721_t1629498_e1631139_b65976_c20240721174847389000_oeac_ops.h5,SVI04_npp_d20240721_t1629498_e1631139_b65976_c20240721175046107000_oeac_ops.dspace_rad,VNFF_npp_d20240721_t1629498_e1631139_b65976_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-5.065257;-7.413936;-9.317493;-14.224405;-12.425318;-9.901584,118.868294;132.607727;146.369156;145.505798;131.470047;117.551582,npp_d20240721_t1629498_e1631139_b65976;npp_d20240721_t1631152_e1632393_b65976;npp_d20240721_t1632406_e1634047_b65976;npp_d20240721_t1634060_e1635302_b65976,161.947,61.4914,6.84381,97.5172,16.7074,-137.313
